description,image,link,words,lemmatized_words,filtered_lemmatized_words,features,cluster
Sri lakshmi Beverages Nannari Sharbath  100 Natural Sarasparilla  Forest Nannari Roots  850ML Bottle Sugandhi syrup,https://m.media-amazon.com/images/I/71iMvoetthL._AC_UL320_.jpg,https://www.amazon.in/Sri-lakshmi-Beverages-Sharbath-Sarasparilla/dp/B0BY3D5Y73/ref=sr_1_7092?qid=1679216460&s=grocery&sr=1-7092,"['Sri', 'lakshmi', 'Beverages', 'Nannari', 'Sharbath', '100', 'Natural', 'Sarasparilla', 'Forest', 'Nannari', 'Roots', '850ML', 'Bottle', 'Sugandhi', 'syrup']","['Sri', 'lakshmi', 'Beverages', 'Nannari', 'Sharbath', '100', 'Natural', 'Sarasparilla', 'Forest', 'Nannari', 'Roots', '850ML', 'Bottle', 'Sugandhi', 'syrup']","['Sri', 'lakshmi', 'Beverages', 'Nannari', 'Sharbath', '100', 'Natural', 'Sarasparilla', 'Forest', 'Nannari', 'Roots', '850ML', 'Bottle', 'Sugandhi', 'syrup']","[14, 3, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 15, 1, 0, 1, 5, 0, 2, 4, 6, 0, 1, 5, 1, 5, 4, 2, 0, 10, 6, 6, 3, 1, 0, 0, 1, 0]",5
Organic Wellness Ayush Kwath 100 Gram Loose Tin  Immunity Booster,https://m.media-amazon.com/images/I/81E9QHnC8OL._AC_UL320_.jpg,https://www.amazon.in/Organic-Wellness-Ayush-Immunity-Booster/dp/B08FMWFB65/ref=sr_1_5162?qid=1679216423&s=grocery&sr=1-5162,"['Organic', 'Wellness', 'Ayush', 'Kwath', '100', 'Gram', 'Loose', 'Tin', 'Immunity', 'Booster']","['Organic', 'Wellness', 'Ayush', 'Kwath', '100', 'Gram', 'Loose', 'Tin', 'Immunity', 'Booster']","['Organic', 'Wellness', 'Ayush', 'Kwath', '100', 'Gram', 'Loose', 'Tin', 'Immunity', 'Booster']","[9, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 4, 0, 1, 2, 3, 0, 0, 2, 3, 4, 4, 0, 0, 3, 5, 3, 2, 0, 1, 0, 2, 0]",4
CocaCola Original Taste Soft Drink PET Bottle 225 L,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81kx2IPueEL._AC_UL320_.jpg,https://www.amazon.in/Coca-Cola-Pet-Bottle-2-25L/dp/B01M12M26K/ref=sr_1_229_f3_0g_fs?qid=1679216338&s=grocery&sr=1-229,"['CocaCola', 'Original', 'Taste', 'Soft', 'Drink', 'PET', 'Bottle', '225', 'L']","['CocaCola', 'Original', 'Taste', 'Soft', 'Drink', 'PET', 'Bottle', '225', 'L']","['CocaCola', 'Original', 'Taste', 'Soft', 'Drink', 'PET', 'Bottle', '225', 'L']","[8, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 2, 1, 1, 0, 3, 0, 1, 3, 0, 2, 4, 0, 0, 2, 1, 4, 0, 0, 0, 0, 0, 0]",0
Sidapur Ground Espresso Bold  Roasted  Ground Espresso Coffee  500g,https://m.media-amazon.com/images/I/61PnGborYYL._AC_UL320_.jpg,https://www.amazon.in/Sidapur-Ground-Espresso-Bold-Roasted/dp/B018RYOOQQ/ref=sr_1_7038?qid=1679216459&s=grocery&sr=1-7038,"['Sidapur', 'Ground', 'Espresso', 'Bold', 'Roasted', 'Ground', 'Espresso', 'Coffee', '500g']","['Sidapur', 'Ground', 'Espresso', 'Bold', 'Roasted', 'Ground', 'Espresso', 'Coffee', '500g']","['Sidapur', 'Ground', 'Espresso', 'Bold', 'Roasted', 'Ground', 'Espresso', 'Coffee', '500g']","[8, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 5, 2, 1, 0, 1, 0, 0, 1, 0, 2, 7, 3, 0, 5, 7, 1, 3, 0, 0, 0, 0, 0]",9
Karma Kettle Nirvana In My Teacup  Assorted Wellness Tea Gift Box,https://m.media-amazon.com/images/I/81KmWpk6pTL._AC_UL320_.jpg,https://www.amazon.in/Karma-Kettle-Nirvana-My-Teacup/dp/B09XDNM15X/ref=sr_1_7041?qid=1679216459&s=grocery&sr=1-7041,"['Karma', 'Kettle', 'Nirvana', 'In', 'My', 'Teacup', 'Assorted', 'Wellness', 'Tea', 'Gift', 'Box']","['Karma', 'Kettle', 'Nirvana', 'In', 'My', 'Teacup', 'Assorted', 'Wellness', 'Tea', 'Gift', 'Box']","['Karma', 'Kettle', 'Nirvana', 'Teacup', 'Assorted', 'Wellness', 'Tea', 'Gift', 'Box']","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 6, 0, 1, 1, 7, 1, 0, 0, 2, 0, 0, 3, 1, 2, 2, 1, 0, 3, 4, 4, 1, 1, 0, 1, 0, 0]",9
Hindraj Masala Chai  Flavoured Masala Tea  Spiced Tea With Premium Ingredients Like Fennel Black Pepper Cardamom Ging,https://m.media-amazon.com/images/I/51hwhee1zrL._AC_UL320_.jpg,https://www.amazon.in/Hindraj-Flavoured-Natural-Cardamom-Cinnamon/dp/B09VL3MS8D/ref=sr_1_4746?qid=1679216415&s=grocery&sr=1-4746,"['Hindraj', 'Masala', 'Chai', 'Flavoured', 'Masala', 'Tea', 'Spiced', 'Tea', 'With', 'Premium', 'Ingredients', 'Like', 'Fennel', 'Black', 'Pepper', 'Cardamom', 'Ging']","['Hindraj', 'Masala', 'Chai', 'Flavoured', 'Masala', 'Tea', 'Spiced', 'Tea', 'With', 'Premium', 'Ingredients', 'Like', 'Fennel', 'Black', 'Pepper', 'Cardamom', 'Ging']","['Hindraj', 'Masala', 'Chai', 'Flavoured', 'Masala', 'Tea', 'Spiced', 'Tea', 'Premium', 'Ingredients', 'Like', 'Fennel', 'Black', 'Pepper', 'Cardamom', 'Ging']","[15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 14, 0, 2, 5, 12, 0, 2, 1, 7, 1, 2, 5, 4, 6, 2, 3, 0, 6, 3, 1, 2, 1, 0, 0, 0, 0]",5
Vimto Fruit Cordial 710 ml,https://m.media-amazon.com/images/I/71O9UfpjMiL._AC_UL320_.jpg,https://www.amazon.in/Vimto-Fruit-Cordial-710g/dp/B003R60PHC/ref=sr_1_1142?qid=1679216352&s=grocery&sr=1-1142,"['Vimto', 'Fruit', 'Cordial', '710', 'ml']","['Vimto', 'Fruit', 'Cordial', '710', 'ml']","['Vimto', 'Fruit', 'Cordial', '710', 'ml']","[4, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0]",3
Mapro Raw Mango Crush 750ml,https://m.media-amazon.com/images/I/71iMTAxqTpL._AC_UL320_.jpg,https://www.amazon.in/Mapro-Raw-Mango-Crush-750ml/dp/B00UTIFCXI/ref=sr_1_1151?qid=1679216352&s=grocery&sr=1-1151,"['Mapro', 'Raw', 'Mango', 'Crush', '750ml']","['Mapro', 'Raw', 'Mango', 'Crush', '750ml']","['Mapro', 'Raw', 'Mango', 'Crush', '750ml']","[4, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0]",3
cocktailqueen Cocktail Mix Chili Lime Margarita Salt  Blue Hawaiian Salt 100 g Each  Combo of 2,https://m.media-amazon.com/images/I/71S6T6EPFwL._AC_UL320_.jpg,https://www.amazon.in/cocktailqueen-Cocktail-Chili-Margarita-Hawaiian/dp/B09PYNZVWW/ref=sr_1_3622?qid=1679216395&s=grocery&sr=1-3622,"['cocktailqueen', 'Cocktail', 'Mix', 'Chili', 'Lime', 'Margarita', 'Salt', 'Blue', 'Hawaiian', 'Salt', '100', 'g', 'Each', 'Combo', 'of', '2']","['cocktailqueen', 'Cocktail', 'Mix', 'Chili', 'Lime', 'Margarita', 'Salt', 'Blue', 'Hawaiian', 'Salt', '100', 'g', 'Each', 'Combo', 'of', '2']","['cocktailqueen', 'Cocktail', 'Mix', 'Chili', 'Lime', 'Margarita', 'Salt', 'Blue', 'Hawaiian', 'Salt', '100', 'g', 'Combo', '2']","[13, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 1, 3, 0, 4, 0, 2, 1, 9, 0, 2, 6, 2, 2, 4, 0, 1, 2, 0, 5, 2, 0, 1, 1, 0, 0]",7
Krishnas Papaya Leaf Juice  500 ml Pack of 2 Fresh Papaya Leaves Helps to boost platelets count,https://m.media-amazon.com/images/I/71DVzFQHxuL._AC_UL320_.jpg,https://www.amazon.in/Krishnas-Herbal-Ayurveda-Papaya-Juice/dp/B07QHXS31H/ref=sr_1_3074?qid=1679216388&s=grocery&sr=1-3074,"['Krishnas', 'Papaya', 'Leaf', 'Juice', '500', 'ml', 'Pack', 'of', '2', 'Fresh', 'Papaya', 'Leaves', 'Helps', 'to', 'boost', 'platelets', 'count']","['Krishnas', 'Papaya', 'Leaf', 'Juice', '500', 'ml', 'Pack', 'of', '2', 'Fresh', 'Papaya', 'Leaves', 'Helps', 'to', 'boost', 'platelet', 'count']","['Krishnas', 'Papaya', 'Leaf', 'Juice', '500', 'ml', 'Pack', '2', 'Fresh', 'Papaya', 'Leaves', 'Helps', 'boost', 'platelet', 'count']","[14, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 3, 0, 8, 1, 0, 2, 2, 0, 1, 4, 1, 2, 3, 4, 0, 2, 6, 4, 2, 1, 0, 0, 2, 0]",7
